rawsum,joint_angle,
0,131.4076494,48.5923506
0,131.2461176,48.7538824
0,130.9230541,49.0769459
0,132.3359995,47.6640005
0,133.7489449,46.2510551
0,135.1618904,44.8381096
135,136.5748358,43.4251642
460,139.4007267,40.5992733
695,140.1095445,39.8904555
921,140.8183624,39.1816376
1150,141.5271802,38.4728198
1419,142.2359981,37.7640019
1597,143.6536338,36.3463662
1827,145.6879053,34.3120947
1963,147.7221768,32.2778232
2116,149.7564484,30.2435516
2217,151.7907199,28.2092801
2361,155.8592629,24.1407371
2411,157.4463226,22.5536774
2422,159.0333823,20.9666177
2354,160.620442,19.379558
2314,162.2075017,17.7924983
2185,165.3816211,14.6183789
1995,165.650515,14.349485
1792,165.9194089,14.0805911
1608,166.1883028,13.8116972
1444,166.4571967,13.5428033
1289,166.9949845,13.0050155
1130,166.7097454,13.2902546
1093,166.4245062,13.5754938
978,166.139267,13.860733
951,165.8540279,14.1459721
917,165.2835495,14.7164505
846,164.7326864,15.2673136
818,164.1818232,15.8181768
918,163.63096,16.36904
1030,163.0800968,16.9199032
1125,161.9783704,18.0216296
1176,161.5047649,18.4952351
1231,161.0311594,18.9688406
1517,160.5575539,19.4424461
1595,160.0839484,19.9160516
1653,159.1367374,20.8632626
1725,159.8092085,20.1907915
1793,160.4816796,19.5183204
1717,161.1541508,18.8458492
1772,162.499093,17.500907
1801,162.1512334,17.8487666
1888,161.8033738,18.1966262
1946,161.4555142,18.5444858
2076,161.1076545,18.8923455
2157,160.4119353,19.5880647
2224,160.4900119,19.5099881
2305,160.5680885,19.4319115
2375,160.6461651,19.3538349
2298,160.7242417,19.2757583
2378,160.8803949,19.1196051
2557,159.3839445,20.6160555
2356,157.8874941,22.1125059
2122,156.3910438,23.6089562
1809,154.8945934,25.1054066
1552,151.9016926,28.0983074
1342,154.0522174,25.9477826
1033,156.2027422,23.7972578
656,158.353267,21.646733
386,160.5037917,19.4962083
183,164.8048413,15.1951587
44,165.5249424,14.4750576
0,166.2450435,13.7549565
0,166.9651445,13.0348555
0,167.6852456,12.3147544
0,169.1254478,10.8745522
0,169.1745341,10.8254659
0,169.2236203,10.7763797
0,169.2727065,10.7272935
0,169.3217928,10.6782072
0,169.4199653,10.5800347
0,168.1681472,11.8318528
0,166.9163291,13.0836709
0,165.664511,14.335489
0,163.1608748,16.8391252
0,162.7383099,17.2616901
0,162.3157451,17.6842549
0,161.8931802,18.1068198
0,161.4706153,18.5293847
0,160.6254856,19.3745144
0,157.6597363,22.3402637
0,154.6939869,25.3060131
0,151.7282375,28.2717625
0,148.7624882,31.2375118
0,142.8309895,37.1690105
0,141.6613579,38.3386421
0,140.4917264,39.5082736
0,139.3220948,40.6779052
0,138.1524633,41.8475367
0,135.8132002,44.1867998
0,133.2900693,46.7099307
0,130.7669385,49.2330615
0,128.2438076,51.7561924
0,125.7206768,54.2793232
0,120.6744151,59.3255849
0,120.2160445,59.7839555
0,119.7576739,60.2423261
0,119.2993033,60.7006967
0,118.8409327,61.1590673
0,117.9241915,62.0758085
0,120.3920749,59.6079251
0,122.8599584,57.1400416
0,125.3278418,54.6721582
0,127.7957253,52.2042747
0,132.7314922,47.2685078
0,133.2543656,46.7456344
0,133.777239,46.222761
129,134.3001124,45.6998876
468,134.8229858,45.1770142
738,135.3458592,44.6541408
1003,136.391606,43.608394
1266,137.3231326,42.6768674
1640,138.2546592,41.7453408
1928,139.1861859,40.8138141
2148,141.0492392,38.9507608
2323,143.5082979,36.4917021
2482,145.9673567,34.0326433
2648,148.4264155,31.5735845
2841,150.8854742,29.1145258
2926,155.8035918,24.1964082
2960,156.8300998,23.1699002
2912,157.8566078,22.1433922
2805,158.8831158,21.1168842
2596,159.9096239,20.0903761
2347,161.9626399,18.0373601
2082,162.4141244,17.5858756
1820,162.865609,17.134391
1571,163.3170935,16.6829065
1368,163.768578,16.231422
1173,164.6715471,15.3284529
1022,164.4477602,15.5522398
1104,164.2239732,15.7760268
1072,164.0001862,15.9998138
927,163.7763993,16.2236007
963,163.3288253,16.6711747
968,162.875933,17.124067
951,162.4230407,17.5769593
1040,161.9701484,18.0298516
1125,161.5172561,18.4827439
1189,160.6114715,19.3885285
1265,160.1075264,19.8924736
1349,159.6035812,20.3964188
1418,159.099636,20.900364
1511,158.5956908,21.4043092
